Abel;30 Dec 2015;
Abir;10 Dec 2015;
Abraham;18 Dec 2015;
Abshir;29 Sep 2015;
Abby;6 May 2015;
Abdirahman;10 Oct 2015;
Ada;10 Mar 2015;
Adam;23 Dec 2015;
Adelaide;1 Jun 2015;
Adele;5 Sep 2015;
Adelina;4 Apr 2015;
Adila;17 Nov 2015;
Adanma;13 Jan 2015;
Adela;5 Sep 2015;
Adina;1 Jan 2015;
Aditi;7 May 2015;
Adolf;23 Jun 2015;
Ador;15 Jan 2015;
Adrian;4 Mar 2015;
Adriana;4 Mar 2015;
Agata;5 Feb 2015;
Agaton;5 Feb 2015;
Agda;5 Feb 2015;
Agne;13 Feb 2015;
Agnes;21 Jan 2015;
Agneta;21 Jan 2015;
Ahmed;23 Dec 2015;
Aida;31 Dec 2015;
Aiden;8 Aug 2015;
Aiko;20 Mar 2015;
Ailena;10 May 2015;
Aina;13 Jun 2015;
Aino;13 Jun 2015;
Ainoa;13 Jun 2015;
Ajaydip;2 Jul 2015;
Ala;25 May 2015;
Alba;1 Mar 2015;
Albert;30 Aug 2015;
Albertina;30 Aug 2015;
Albin;1 Mar 2015;
Alda;10 Jun 2015;
Aldo;10 Apr 2015;
Aléa;8 Sep 2015;
Alex;17 Feb 2015;
Alexa;12 Dec 2015;
Alexander;12 Dec 2015;
Alexandra;17 Feb 2015;
Alexis;12 Dec 2015;
Alf;21 Jun 2015;
Alfhild;3 Sep 2015;
Alfons;6 Aug 2015;
Alfred;3 Jan 2015;
Alfrida;3 Jan 2015;
Algot;30 Jul 2015;
Ali;30 Jan 2015;
Aliah;21 Aug 2015;
Alice;23 Jun 2015;
Alicia;23 Jun 2015;
Alida;22 Apr 2015;
Alina;13 Feb 2015;
Alissa;25 Aug 2015;
Allan;22 Apr 2015;
Ally;28 Jun 2015;
Alma;8 Sep 2015;
Aloisia;19 Feb 2015;
Alrik;5 Aug 2015;
Alte;28 Feb 2015;
Altea;15 Aug 2015;
Alva;3 Sep 2015;
Alvar;21 Jun 2015;
Alvie;19 Aug 2015;
Alvin;1 Mar 2015;
Alyssandra;31 Aug 2015;
Amadeus;26 Oct 2015;
Amalia;20 Apr 2015;
Amaltea;13 May 2015;
Amanda;26 Oct 2015;
Amaya;19 Feb 2015;
Ambar;11 Jan 2015;
Amelia;20 Apr 2015;
Amelie;20 Apr 2015;
Ami;1 May 2015;
Amie;15 Jul 2015;
Amieé;20 May 2015;
Amil;31 Aug 2015;
Amilia;12 Jun 2015;
Amina;25 Oct 2015;
Amy;20 Aug 2015;
Anahita;9 Dec 2015;
Anakin;1 Apr 2015;
Anastacia;9 Dec 2015;
Andy;21 Mar 2015;
Andre;10 Jul 2015;
Andrea;10 Jul 2015;
Anders;30 Nov 2015;
Andonis;28 Jul 2015;
Andreas;30 Nov 2015;
Andrine;3 Jul 2015;
Andro;4 Mar 2015;
Anelia;14 Feb 2015;
Angel;4 Mar 2015;
Angela;7 Dec 2015;
Angelia;11 Mar 2015;
Angelica;7 Dec 2015;
Angelika;7 Dec 2015;
Angelina;13 Jun 2015;
Angelique;12 Jul 2015;
Angelo;7 Dec 2015;
Anileah;19 Nov 2015;
Anina;9 Sep 2015;
Aniola;21 Aug 2015;
Anita;9 Sep 2015;
Anja;9 Dec 2015;
Anki;22 Mar 2015;
Ann;9 Dec 2015;
Ann-Charlotte;4 Jan 2015;
Ann-Christin;22 Mar 2015;
Ann-Mari;7 Aug 2015;
Anna;9 Dec 2015;
Anna-Carin;29 Jul 2015;
Anna-Klara;5 Jun 2015;
Anna-Lova;8 Feb 2015;
Anna-Maria;1 Jan 2015;
Anne;9 Dec 2015;
Anne-May;18 Jan 2015;
Anneli;21 Apr 2015;
Annelill;21 Feb 2015;
Annelise;11 Dec 2015;
Annette;9 Sep 2015;
Annie;9 Dec 2015;
Annika;21 Apr 2015;
Annlouise;29 Jun 2015;
Annmarie;7 Nov 2015;
Anny;16 Feb 2015;
Anselm;4 Feb 2015;
Ansgar;4 Feb 2015;
Ante;30 Nov 2015;
Anthon;17 Jan 2015;
Anton;17 Jan 2015;
Antonia;17 Oct 2015;
Antonio;17 Oct 2015;
Anyarin;15 Jan 2015;
Apaco;13 Apr 2015;
Apollo;11 Nov 2015;
Aram;2 Jan 2015;
Ardeshir;18 Sep 2015;
Ardita;22 Dec 2015;
Are;25 Jul 2015;
Arec;18 Jun 2015;
Arlene;10 Aug 2015;
Arne;4 Aug 2015;
Arnold;4 Aug 2015;
Aron;1 Jul 2015;
Arta;30 Nov 2015;
Artur;13 Apr 2015;
Arvid;31 Aug 2015;
Arvin;24 Aug 2015;
Asal;3 May 2015;
Asgeir;29 Sep 2015;
Ashanti;26 Aug 2015;
Asmir;24 Jun 2015;
Assar;16 Dec 2015;
Assia;5 Apr 2015;
Asta;27 Nov 2015;
Aston;22 Aug 2015;
Astor;26 Apr 2015;
Astra;27 Jun 2015;
Astrid;27 Nov 2015;
Athena;17 Jun 2015;
Atle;8 Aug 2015;
Attila;7 Jan 2015;
August;7 Jan 2015;
Augusta;7 Jan 2015;
Aurora;3 Jul 2015;
Ava;1 May 2015;
Avalea;1 Aug 2015;
Axel;16 Jun 2015;
Axelina;16 Jun 2015;
